Attack_ID,Weight,Num_Attempts,Duration,Headers_Complexity,Payload_Complexity,Attack_Type_Dos,Attack_Type_PortScanning,Attack_Type_SQLInjection,Attack_Type_XSSAttack,Skill_Score
1,0.816345472352562,-0.1337088653859655,-0.3816617584378752,0.5018861429742486,0.805839508955409,False,False,True,False,2.359002317916133
2,0.816345472352562,-1.1938047290598617,1.646973157948881,-0.2893140588007339,-0.6539376489687043,False,False,True,False,0.48039082319766624
3,1.2060091823060524,-0.8518383214231209,-0.8480334596706022,0.933045803492076,0.6031714180979832,True,False,False,False,2.0129198000832247
4,-1.5216367873683796,1.5077298912703898,0.5502032442889435,-0.1374451062128393,0.1864971613701296,False,True,False,False,-0.14700986316747486
5,-0.7423093674613991,0.9605836390516046,-0.6127980096640898,-0.5500841627565333,0.4416038491626933,False,False,False,True,-0.8516944132009223
6,0.816345472352562,0.7212071537058862,0.959654642458108,0.2900104335101613,-0.5079599331762927,False,False,True,False,2.5930446117758503
7,0.0370180524455814,-1.1254114475325134,-1.2944362068450217,1.1552930511816777,0.3622373240716734,False,False,False,False,-0.5070603929979747
8,1.2060091823060524,1.165763483633649,1.6483785975306977,0.2159280176136276,0.8242638808515385,True,False,False,False,5.953812520866778
9,-0.7423093674613991,-1.398984573641906,-0.1617104638836157,-0.5974969089303149,0.3664891022015497,False,False,False,True,-2.914719546571984
10,1.2060091823060524,-0.407281991495358,-0.9255083166182286,0.8367386628265819,-0.2670258391499829,True,False,False,False,1.1331762698424126
11,-0.7423093674613991,-0.0653155838586173,-1.495706866957639,0.4959595497025259,-2.047103616191426,False,False,False,True,-4.740569743414177
12,-0.7423093674613991,0.3450441053054714,-1.1580500074262596,-1.004209372202286,1.060946196747972,False,False,False,True,-1.7522911441832663
13,0.816345472352562,0.4476340275964936,0.0697185872554774,-1.16570903885673,-0.3322197704747495,False,False,True,False,-0.08886572486443611
14,1.2060091823060524,1.2341567651609973,-0.571396101983083,-1.9087556702989648,-0.1196308639809461,True,False,False,False,0.025747509103005217
15,1.2060091823060524,-1.6383610589876243,1.1540152246267947,1.07380239369549,-0.7432249896961014,True,False,False,False,1.6470383249279053
16,0.0370180524455814,1.3025500466883453,-0.2420547599774506,-1.6961391366759129,-0.6355132770725745,False,False,False,False,-1.745511858826175
17,0.0370180524455814,0.7554037944695603,-0.8810612898432866,-0.0774383493366465,-0.1961628703187155,False,False,False,False,-0.4180681673236601
18,0.816345472352562,-1.3305912921145575,0.4112989656194272,0.9048944854513928,0.1638210113441239,False,False,True,False,1.6040665793227453
19,0.816345472352562,0.4818306683601677,0.7257075120682608,0.7752502576324587,1.41526104090431,False,False,True,False,5.202196051291825
20,-1.5216367873683796,0.9263869982879306,-1.1675367246035202,-0.8893816275626584,-0.0827821201886872,False,True,False,False,-3.6984796166886422
21,0.0370180524455814,1.0631735613426267,-1.165545685195947,0.8152547622165871,0.5223876336303382,False,False,False,False,1.6105645931943962
22,-0.7423093674613991,0.7554037944695603,-1.6248316285370163,0.661904161310762,-0.6397650552024507,False,False,False,True,-2.020301463449826
23,1.2060091823060524,-0.9886248844778172,0.8295929211575197,-1.2509038171377438,-1.3724881529177575,True,False,False,False,-1.6353373692195963
24,0.816345472352562,-1.0912148067688394,0.5749741169184569,-1.6842859501324672,0.654192755656496,False,False,True,False,-0.46241503912705506
